Condition,MedCodeId,Term
Epilepsy,459233015,Epilepsy control good
Epilepsy,459234014,Epilepsy control poor
Epilepsy,1780375016,Epilepsy care arrangement
Epilepsy,930341000006113,Seizure free >12 months
Epilepsy,141981000000118,Epilepsy restricts employment
Epilepsy,141991000000116,Epilepsy prevents employment
Epilepsy,154851000000115,Epilepsy impairs education
Epilepsy,137801000000112,Epilepsy limits activities
Epilepsy,142041000000115,Epilepsy does not limit activities
Epilepsy,142051000000117,Epilepsy management plan given
Epilepsy,2159216019,Epilepsy severity
Epilepsy,2159217011,No seizures on treatment
Epilepsy,2159218018,1 to 12 seizures a year
Epilepsy,2159219014,2 to 4 seizures a month
Epilepsy,2159220015,1 to 7 seizures a week
Epilepsy,2159221016,Daily seizures
Epilepsy,2159222011,Many seizures a day
Epilepsy,2533403014,No epilepsy drug side effects
Epilepsy,264645016,Epilepsy monitoring NOS
Epilepsy,1176071000000111,Pregnancy advice for patients with epilepsy
Epilepsy,1176031000000114,Pre-conception advice for patients with epilepsy
Epilepsy,1780267013,Epilepsy medication review
Epilepsy,2548491016,Epilepsy monitoring verbal invite
Epilepsy,406781000000119,Epilepsy monitoring telephone invite
Epilepsy,307861000000113,Epilepsy monitoring call first letter
Epilepsy,307881000000116,Epilepsy monitoring call second letter
Epilepsy,307901000000118,Epilepsy monitoring call third letter
Epilepsy,425631000006118,[X]Schizophrenia-like psychosis in epilepsy
Epilepsy,379901000006113,[X]Epileptic psychosis NOS
Epilepsy,395221000006119,[X]Limbic epilepsy personality
Epilepsy,362161000006110,[X]Acquired aphasia with epilepsy [Landau - Kleffner]
Epilepsy,399395015,Progressive myoclonic epilepsy
Epilepsy,72751000006116,Unverricht - Lundborg disease
Epilepsy,297060016,Myoclonic encephalopathy
Epilepsy,297107018,Dyssynergia cerebellaris myoclonica
Epilepsy,178739011,Epilepsy
Epilepsy,2550890017,Generalised nonconvulsive epilepsy
Epilepsy,230321000006117,Petit mal (minor) epilepsy
Epilepsy,647301000006112,Epileptic absences
Epilepsy,495804010,Pykno-epilepsy
Epilepsy,297266016,Epileptic seizures - atonic
Epilepsy,297267013,Epileptic seizures - akinetic
Epilepsy,345275015,Juvenile absence epilepsy
Epilepsy,345281011,Lennox-Gastaut syndrome
Epilepsy,10791000006116,Other specified generalised nonconvulsive epilepsy
Epilepsy,800721000006115,Generalised nonconvulsive epilepsy NOS
Epilepsy,500033015,Generalised convulsive epilepsy
Epilepsy,223811000000118,Grand mal (major) epilepsy
Epilepsy,103531000006110,Tonic-clonic epilepsy
Epilepsy,253231000006116,Otohara syndrome
Epilepsy,297282015,Epileptic seizures - clonic
Epilepsy,297283013,Epileptic seizures - myoclonic
Epilepsy,297284019,Epileptic seizures - tonic
Epilepsy,472410017,Tonic-clonic epilepsy
Epilepsy,297289012,Other specified generalised convulsive epilepsy
Epilepsy,297290015,Generalised convulsive epilepsy NOS
Epilepsy,12602012,Petit mal status
Epilepsy,23819016,Grand mal status
Epilepsy,23820010,Status epilepticus
Epilepsy,297295013,Partial epilepsy with impairment of consciousness
Epilepsy,297296014,Temporal lobe epilepsy
Epilepsy,477355017,Psychomotor epilepsy
Epilepsy,297300010,Psychosensory epilepsy
Epilepsy,743461000006119,Limbic system epilepsy
Epilepsy,297302019,Epileptic automatism
Epilepsy,2159274014,Complex partial epileptic seizure
Epilepsy,297303012,Partial epilepsy with impairment of consciousness NOS
Epilepsy,245341000006117,Partial epilepsy without impairment of consciousness
Epilepsy,450603013,"Jacksonian, focal or motor epilepsy"
Epilepsy,345225017,Focal epilepsy
Epilepsy,450602015,Motor epilepsy
Epilepsy,148591000006114,Sensory induced epilepsy
Epilepsy,297311019,Somatosensory epilepsy
Epilepsy,297313016,Visceral reflex epilepsy
Epilepsy,297312014,Partial epilepsy with autonomic symptoms
Epilepsy,297314010,Visual reflex epilepsy
Epilepsy,297315011,Unilateral epilepsy
Epilepsy,301541000000116,Simple partial epileptic seizure
Epilepsy,245361000006118,Partial epilepsy without impairment of consciousness OS
Epilepsy,245351000006115,Partial epilepsy without impairment of consciousness NOS
Epilepsy,46969011,Infantile spasms
Epilepsy,46972016,Lightning spasms
Epilepsy,46968015,West syndrome
Epilepsy,46970012,Hypsarrhythmia
Epilepsy,46971011,Salaam attacks
Epilepsy,297320011,Infantile spasms NOS
Epilepsy,297321010,Kojevnikov's epilepsy
Epilepsy,485041012,Post-ictal state
Epilepsy,931711000006118,Early infant epileptic encephalopathy wth suppression bursts
Epilepsy,345302015,Ohtahara syndrome
Epilepsy,11300012,Juvenile myoclonic epilepsy
Epilepsy,478024019,Alcohol-induced epilepsy
Epilepsy,345318014,Drug-induced epilepsy
Epilepsy,345321011,Menstrual epilepsy
Epilepsy,2474650018,Stress-induced epilepsy
Epilepsy,512000013,Photosensitive epilepsy
Epilepsy,345311015,Severe myoclonic epilepsy in infancy
Epilepsy,2193821000000118,Dravet syndrome
Epilepsy,125721000006111,"Status epilepticus, unspecified"
Epilepsy,297324019,Other forms of epilepsy
Epilepsy,297325018,Cursive (running) epilepsy
Epilepsy,148427014,Gelastic epilepsy
Epilepsy,736371000006112,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset
Epilepsy,345345010,Complex partial status epilepticus
Epilepsy,73622018,Benign Rolandic epilepsy
Epilepsy,632721000000111,Panayiotopoulos syndrome
Epilepsy,297330019,Other forms of epilepsy NOS
Epilepsy,399408014,Epilepsy NOS
Epilepsy,453344019,Fit (in known epileptic) NOS
Epilepsy,299334015,[X]Other generalized epilepsy and epileptic syndromes
Epilepsy,299336018,[X]Other epilepsy
Epilepsy,299337010,[X]Other status epilepticus
Epilepsy,299345017,"[X]Status epilepticus, unspecified"
